text|sentiment
Telefonumda kontör yok da beni arayabilir misiniz |neutral
Tamamdır|neutral
özel banka olmasına rağmen bu kadar işini savsaklaması enteresan onaylanıp haftalardır gelmeyen kredi kartı!!!|negative
Bana yardımcı olmak istiyorsanız, sizi aradığımda da bunu yapabilir(d)iniz Yanıltıcı kampanyalarınızı protesto ediyorum!!!|negative
444 0 333 hattında çalışan kişilerin menüden haberi yok, 3 kişiyle konuştum üçü de yanlış bilgi verdi, bu mu kalite???|negative
keşke garanti yerine iş bankasını seçseydim bir kredi kartı kartı almak bu kadar zor olmamalı.|negative
444 0 333 nolu hattınızdaki yanlışlıkları kime şikayet edeceğim Müşteriniz size ulaşamasın diye elinizden geleni yapıyrsnz|negative
yaklaşık 2 hafta önce kredi kartı başvurusu yaptım onaylandığı halde hala bana teslim edilmedi.|negative
RayMalifalıtiko  amkdüğümün bankası dün zor durmda kalmıştm 6 aramadan snra yne bağlanamadm Ebeni sıkıym sesli yanıt sistemi|negative
her seferinde beni aramamalarını tembih etmeme rağmen bugün tam 9 defa tarafınızdan arandım Bu ne biçim bankacılık|negative
Bir öğrencinin burslarından geçinmek nasıl bir duygu Başbakanı dinleyip kartımızı mı kapatalım?|negative
2009'dan beri iznim dışında kartımdan alınan toplamda 300tl'ye yakın para karşılığında ne hizmet aldım?|negative
Sizinle iletişime geçilmiyor sorun ordaMüşteri hizmetlerini arıyorum hizmet kaliteniz rezaletHerkes bir yere aktarıyor|negative
maaşları garanti karttan alma zorunluluğu nedir her yerde ya garanti müşterisi olmak zorunda mıyız |negative
sizin tarafınızdan taciz edilmekten bıktım! Aramayın! Dahası da vardı; silmediklerim bunlar sadece!! http://tco/kAfT7E4g7o|negative
gerek yok|neutral
kredi almak için illede kredi kartı sahibi olmak çok saçma değilmi?|negative
ekibiniz bana ulaşamaz çünkü eski noyu kullanmıyorum lütfen dm den yeni numaramı alınız.|neutral
aradılar yarım saat sonra arayın dedim 5 saat geçti?|negative
Sirkeci'deki şubenizin atm'sinden alamadım.|negative
mmehmettttt mehmet özkeskin 05063090319|neutral
başka bir şubenizden hallettim  gerek kalmadı ilgilinize teşekkürler|positive
gerek kalmadı Artık bankanızla ilgilenmiyorum.|negative
kredinin onaylanmadığını telefondan da söyleyebilirdiniz (çaycılar hariç) bütün garantiye sövdüm 30 km yolu boşuna yürüdüm |negative
biraz takibinde olun size direkt mesaj attım bu konu hakkıda cevap vermediniz Tekrar yeni görmüş gibi mesaj atıyosunuz bir de|negative
bekliyorum|neutral
bekliyorum|neutral
Garanti Bankası aradı ve bilgi alıp Elma hesabımı kapanacaklarını belirttiler İlgileri için kendilerine teşekkür ederim |positive
2 saatir tel güncellemesi yapmaya çalışıyorum atm ve gi arasında mekik dokudum olmuyorr|negative
Kredi kartı başvurum yapılalı 2 ay oldu Kart alalım diye kendinizi yırtarken bu umarsızlık niye?|negative
ben size ulaşamıyorum bari siz bana ulasın olmaz mı ?|negative
Defolun gidin yeterli |negative
cinnet geçirirken doğancılar şubesindeydim ama bu sizin genel sorununuz şube farketmiyor.|negative
25 aydır sizden kart bekliyorum,insaf |negative
Sınır hastası ettiniz! Müşteri temsilcisi parayla mı da asla BAĞLANAMIYORUM! |negative
Garanti bankası kadar berbat bir banka görmedim hayatımda Allah'tan hesabım yok sizde  link|negative
Merhaba, Cuma günü yaptığım bir EFT'nin ulaşıp ulaşmadığından nasıl emin olabilirim Tsk.|positive
hani kapalı kredi kartımızın aidat ödemesi iade edilecekti... ne oldu?????|negative
sorunum çözüldü Tskler.|positive
kktc'deki şubelerinize ne zaman gelsem en az 1 saat bekliyorum Sizce bu normal mi?|negative
müşteri temsilcime mail attım, haber bekliyorum çok acil bir konu değil, sadece hizmetinizle ilgili bilgi vermek istedim.|neutral
hgşyı ruhsatla birlikte şubeye gittiğimizde hemen alabilir miyiz?|neutral
allah aşkına beni arayın ya atomu parçaladım ama sizin temsilcikerinize telefon aracılığıyla ulaşamadım.|negative
internetteki destek hattınız çalışmıyor, fyi.|negative
şube ile görüşüp işlemimi çok kısa sürede gerçekleştirdimtemsilciniz havva hanım çok ilgilendi kendisine teşekkür ederim.|negative
Dünya'nın en aç bankası herhalde sizsinizŞaka gibisiniz005 krluk ekstre..  http://tco/BSIyfIoze3|negative
umarım ""başka bir arzunuz var mı?"" Diye gereğini yapıp dönüş yaparsınız Ben zaten gerekli yerlere ulaşacağım İyi çalışmalar|negative
insanları tel basına oturtmanız bu kadarını bile beceremiyorsa en azından insanların yüzüne tel kapatmamalarını sağlamanız|negative
başka bir arzum; 10 gün sonra ödenecek denilen bir borcun ayın  4+7 =11'ı değil, 4+10=14'üne geldiğini anlayabilecek zekada++|negative
0212 630 17 46 nodanZuhal ismindeki görevlinizin saat 09:15'de arayıp, fırça tarzdaki konuşmaması ve suratıma tel kapatmaması|negative
uyorum! kurye net rezilliğine bi son vermeyi düşünüyo musunuz onca kaliteli firma varken neden bu saçma firma?|negative
Teşekkürler..|positive
Şu an uygunum Ulaşabilirsiniz.|positive
aktif iletiye ulaşamıyorum kartımın teslimatı için yardımcı olur musunuz ?|negative
+beklemede..Neden gönderilmiyor bu swift|negative
6103055 müşteri numaralı hesabımdan kurban bayramı arefesinde yaptığım siwift  23/10/2013de yapılmış gibi görünüyor ve halen|negative
çalışmış olduğunuz kurye şirketi kuryenet 1,5 aydır kartımı hala elime ulaştırmadı kartımı iptal ettirmek istiyorum gelmiçekse|negative
hallettim ama ilginize hayran kaldım tessekkürler garanti :)|positive
şimdi olabilir veya yarın sabah 9 dan itibaren arayabilirsiniz|positive
bana yakın iki bankomatiğin ikisi de bozuk olduğu için bir önemi yok|negative
Yarın tüm gün müsaitim, istediğiniz zaman iletişebiliriz ^_^ Teşekkürler.|positive
yarın akşam üzeri ararsanız sevinirim Teşekkürler.|positive
şu an olabilir|positive
Siz ararsınız ben ve/veya bir başka kişi müsaitse cevaplar, bu genel bir ibare değil midir?|negative
bana geçen hafta için kartınız hiçi gelecek dendi, hâlâ gelmedi Neden gelmedi  Madem gelmeyecekti neden gelecek dendi :)|negative
Müşteri memnuniyeti açısından Sosyal Medyayı iyi kullanan bi tweetle anında ulaşıyorlar Teşekkürler.|positive
ne zamandan beri güvenlik görevlileriniz müşteri kovuyor.|negative
ne zamandan beri kapıdaki güvenlikçileriniz müşteri kovuyor?|negative
kredi başvurusu için fırsat kodu gönderiyorsun sonra arıyoruz ret ediyorsun ne iş|negative
geçen ay şeffafbonuşun kullanma tarihi bitti 1 ay olmuş kart gönderen yokgaranti müşteriyle ilgilenmeyi düşünüyor mu |negative
önce alogarantiden sonra şubeden limit artırım talebinde bulunduk olumlu olumsuz cevap gelmedi |negative
kredi kartım elime ulaştı nasıl kullanıma açabilirm yarın saat 17 00 de müsaitim|positive
kredikartım şubeden adres değişikliği yapmama rağmen 10 gündür elime ulaşmadı, yardımcı olur musunuz?|negative
kredikartımı yeniletmek için 5eylül2013 başvurdm 57gün sonra(normal mi sizce) 1kasım kart elime geçtişimdide şifre alamıyorm|negative
kredikartımı yeniletmk için 5eylül2013 başvurdum 57gün sonra (normal mi sizce)1kasım kart elime geçtişimdide şifre alamıyorm|negative
OSMAN ÇAĞLAR CEP TEL :0535 028 13 00 YETER ARAYIN ARTIK Bİ KREDİ KARTI ÇIKARTCAZ REZİLLİK ÇEKİYORUZ|negative
Ezgi baran sema didem hepinize birden soruyorum nerde benim kredi kartım 19 gündür gelmiyo|negative
Sabah 9 ile gece 12 arasında yurt dışı numaramdan ulaşabilirsiniz Size ulaşabileceğim bir telefon varsa ben de arayabilirim.|positive
tamam teşekkürler|positive
tekrardan gönderdim.|neutral
kartım geldi, şifre koymam için yardımcı olur musunuz.|neutral
merhaba Internet üzerinden hesabıma para gönderildi bir günden fazla olmasına rağmen hala para hesabıma geçmedi Sebep nedir?|negative
ben işimi hallettim ilginiz için teşekkür ederim|positive
alo garanti de operatör bağlanmak istiyorum çok acil ..!!!!|negative
fona bağladım hesabımı kusurat kaldıkça çekiyorsunuz Artık yetti canıma illa kapattıracaksınız hesapları..|negative
Arkadaş hesabımızda para bırakmıyacakmayız 10 tl hesap işletim bedeli tahsil edildi nedir?? Resmen haraç alıyorsunuz !!!!!!!|negative
gün içinde arayabilirsiniz|neutral
çözüm öneriniz varsa her saat uygun benim için :)|positive
kuzenin mi tweetiyor hesabından Uyduruk musunuz?!|negative
istemez! Sisteminiz kodları günler sonra gönderebiliyormuş Tlfonumu isteyip geçiştirmeden bi meseleyi araştırın Tembeller.|negative
Şimdi müsaitim.|neutral
Dm ile bilgi verdim Umarım 2 gün daha bekletmezsiniz beni(!) İyi çalışmalar|negative
gerek yok  bu bankayla işim olmaz bi daha..|negative
Maaş hesabım olmasına rağmen internetten yaptığım işlemlerden bile ücret alınıyor.|negative
yardımcı olmadığınız için yazdım zaten..|negative
teşekürler|positive
şubenize gitmem gerekiyo yine.. şu şifre olayına başka alternatifler bulmanız dileğiyle|negative
Merhaba, yarın gün içerisinde telefonum üzerinden ulaşabilirsiniz.|positive
Olur mu böyle  Haftasonları çalışkmıyor musunuz Yoksa ilgilenmiyor musunuz |negative
murat aksu 05327704050|neutral
03112013 saat 13 den sonra her saat olabilir|neutral
Hala bekliyorum.|negative
çok kısa sürdü  suan görüşüyorum :)|positive
bizim kurye bugün de gelmedi ne yapsak acaba  herhangi bir öneriniz varsa arayarak bildirirseniz sevinirim.|negative
aranmam mümkünmüdür ?|neutral
mesaj attım|neutral
borcumu odiyebilirmisiniz :)|positive
kredi kartım gelicekti 1 ay oldu hala gelmediMüşteri hizmetlerini arıyorum,anlamıyor.|negative
gönderdim|neutral
Telesekreterden müşteri temsilcisine ulaşamıyorum bu nasık iştir ya |negative
İlgi ve Alakanız İçin Çok Teşekkür Ederim |positive
izmir balçova şubesi hakkında şikayetim var Dm den size özetle msg atıyorum.|neutral
en kısa sürede ekibiniz beni arayacaktı hani    ?|negative
arayıp da konuşmuyor 444 0 333 tekrar lütfen..|negative
teşekkürler ilginize ben beklerim ama siz şu kart ücretleri bi kaldırsanız daha iyi olmaz mı o konu da çalışmanız olsa :)|positive
Mümkünse artık edin..|negative
bekliyorum|neutral
bekliyorum|neutral
En yakın zamanda çağrı merkezinden şahsen ""yıllık üyelik bedelleri"" hakkında bilgilendirme isteyeceğim İlginize teşekkürler.|positive
dum, Ekin hanım sabırla ve içtenlikle cevapladı, hızından hiç bahsetmeye gerek bile duymuyorum Teşekkürler |positive
Çaçaycl dümen yapıyo ya :D|negative
şafakgfb1907 Dümen yapmayın lan :)|negative
Suanlık bi yardıma ihtiyacım yok daha sonra inş , ki olmiyacak şimdiden teşekkürler..|positive
yeni sesli yanıt sistemi tam bir gerizekalılık ürünü...ben müşteri temsilcisiyle nasıl konuşacağım|negative
dum cevap alamadım! |negative
Yardım istesekte kendi uğraşımızla hallettik sorunu 7/24 yanımzda olmasanızda |negative
kontörünüz mü yoktu da aramadınız yoksa çözüm bulamadığınız için mi aramadınız ?|negative
çok teşekkürler Hızlı geri dönüş için Gerekli bilgiyi verildi telefon ile.|positive
kredi ile ilgili bir soru sormak istiyorum ulaşır mısınız|neutral
Bilgi verilecek bir şey yokki hep aynı şeyler, yaptığınız yasalara aykırı....|negative
resmi hesap mı bu?|negative
bi aransam güzel olucak sanırım .|neutral
cevabımı aldım teşekkürlerama maaş müşterilerine kredi kampanyası gereksizben istersem başvururum zatendurduk yere uğraştık|negative
Otomatik Fatura Ödeme Talimatlarınıza 100 TL'ye varan bonus! Kampanyasındaki ilk 75000 kişi limiti doldu mu?|neutral
çok sevinirim Teşekkürler|positive
Fark etmez kafanıza göre arayın :D|positive
Çileden çıktıktan sonra hallettim sorun yok (:|negative
teşekkür ederim sorunu çözdük ama bunu ilk 2 başvurunda çözseydiniz de ne beni ne kendinizi yorsaydınız|negative
şu an itibariyle uygunum|neutral
bir iş için balıkesire uğramak zorunda kaldım android uygulamasında belirttiğiniz atm bulunamadı balıkesir merkezde 5adet var|neutral
İletişime geçmenizi rica ediyorum.|neutral
Yasalar gereği çalışan bir insanın maaşının %25 ı kesilebilir, siz %25 i kesilen bir maaşın, %40 ini kesiyorsunuz, bu bir suç|negative
646823 Nolu EFT iptal talebiyle ilgili şube yetkilisine ulaşamıyorum İşlemin gerçekleşmesi için  daha ne kadar uğraşmalıyım|negative
günün her saati arayabilirsiniz....|neutral
Ben Miles&Smiles kredi kartı almak istiyorum ama bir türlü gerekli formları dolduramadım Yardımcı olur musunuz?|positive
40 gündür maaş kartı beklediğiniz banka hangisidir diye dum bana  tabi ki dedilerüstün hizmet büyük başarı falan.|negative
Internet üzerinden tedaş ödemelerini yapamıyoruz yardım lütfen |neutral
2 haftadır hesap kartım ISRARLA GELMİYOR! İnternet bankacılığı şifremi KARTSIZ alamıyormuşmuşum! Müşteri no ne güne duruyor?!|negative
Saatlerdir müşteri hizmetlerini arıyorum ve sesli yanıt sistemi beni delirtti! DİREK müşteri temsilcime bağlanamayacak mıyım?|negative
akşam müsreti hizmetlerini arayıp sorunu görüşeceğiz.|neutral
Ekim ayının 10'nun da hesap kartı açtırdım hala gelmedi ve iş yerinden izin alamadığım için maaşımı çekemiyorum.|negative
kartsız işlemden türkcell cüzdana yatırdığım parayı nasıl geri çekebilirim?|neutral
yolladım|neutral
Temsilcileriniz şubeye yönlendiriyor ancak yakınımda şube de yok Kartın ulaşması için daha ne kadar aramalıyım?!|negative
İnternet Bankacılığından kart gönderimi için verdiğim adres, alakasızca başka bir ilçe olarak belirlenmiş.|negative
Bankanızdan kart alıyorum, ulaşmıyor, Alo Garanti şifrem olmadığı için kimse yardımcı olmuyor.|negative
çok teşekkür ederim ilginize|positive
Soruma Cevap Alamadım Hala  |negative
beni sinir hastası ettiniz siz|negative
borcumu silin, peşimi bırakın|negative
amerikadan lira gönderdiler bana 3 4 gün oldu ne zMan gelir|neutral
bana yardımcı olun|neutral
Yurtdışından Lira gönderdiler bana kaç güne hesabıma gelir   cazyeşili link|neutral
otomatik ödeme talimatındaki faturalarım ne zaman ödenecek  |neutral
personelleriniz işini düzgün yapsın yeter! Herkesin vakti zamanı var boş değiller!!|negative
DM gönderdim|neutral
Tedaş ödemelerimizi artık internet ya da cep şubesinden yapamıyoruz sanırım..|neutral
2000 TL limitli kredi kartı gönderecekseniz alayım.|negative
ismim Uğur ÖZTÜRK numaram : 537 286 86 88 Yine bonus mü teklif edeceksiniz :)))|positive
09-12 arası dışında arayabilirsiniz.|neutral
ölemiiii bilmiyordum tüh tüh! benim akbank,yapıkredide de kartım yok ama bu kadar sonra hizmet almıyorumteşekkürler|negative
bugün 12 uygundur|neutral
iyi akşamlar ben 21:35 izmir bostanlı atmsinden kartsız işlem yapmak istedim yatırtıdığım para hesaba geçmedi üstelik vermedi|neutral
sıra bize gelir mi  |negative
tuğba_tanyeri kendisi aranmadı bu satten sonrada aranmasın ama habersiz kredi nasıl çıkıyor bu konunun takipçisi olacağım.|negative
aradığım kişiler kaileye bile almıyolar müşteriyi ayıptır ayıp.|negative
nasıl bi bankasınız siz  Bu şehirdeki çalışanlarınız sanırsınız garantinin sahipleri bana öyle bi konusuyolar ki|negative
yarın mesai saatlerinde|neutral
yarın sabah öğleye kadar benimle iletişime geçebilirsiniz şube telefonla halledin telefondaki şubeyle iletişime geçin diyor|neutral
sorun halledildi teşekkür ederim|positive
göstermiş olduğunuz ilgiye teşekkür ederim|positive
31102013 tarihi itibariyle ulaşabilirsiniz|neutral
şu an olur|neutral
dan arayan Burak şu ana kadar komuştuğum en başarılı çağrı merkezi insanlarından ilk üçe girer.|positive
kredi kartıma para yatmasına rağmen hesapta bir gariplik var, kk borcundan düşmemiş yardımcı olur musunuz ?|neutral
iki buçuk saat sıra bekledim üstelik kartla sıra numarası almış olmama rağmen|negative
17 Ekimde iletmiş olduğum şikayetim ile ilgili bir cevap alamadım Yardımlarınızı bekliyorum.|negative
Beni yarın 17:00'den sonra 532 ile başlayan numaramdan ararsanız konuşuruz.|neutral
Hürriyet cad Kocaeli/izmit|neutral
1 saat 45 dk bekledim çalışanınızın hesap açma ve kredi kartı başvurusu işlemimi yapamayacağını söylemesi 1 dk sürdü...|negative
etimesgut şubesi bireyseldeki işlemlerin fazla uzaması aşırı yığılmanın oluşması teşekkür ederim ilginize|negative
tuğba_tanyeri  başvurmadığım halde cep telefonuma ''krediniz onaylanmıştır'' mesajı geldi  bi açıklama yok mu?|negative
merhaba bugün Silivri olsun taksim garanti subesi olsun elemanlarınız da nitelik sorunu olmaliki 1 kişiye en aZ 10 dkayırıyor|negative
bir hafta önce bankamatiğin kaptığı kartı daha bugün zor aldım.|negative
diğer konuda yardımcı olamicakmısınız, sarışın kısa boylu yengenizle beni tanıştırmıçakmısınız,|negative
6 ay oldu daha bekliyim mi |negative
hangi belgeleri arkadaşım  söylesene|negative
SamanyoluSeval olmuş,gördüm hemşerimsincan sin ;))|positive
RTçı_baba yaptım oldu sanırım:)|positive
benim kart ne zaman gelir?|neutral
Merhaba, ben bana ulaşılmasını istemiyorum Pazartesi sabahı aranmak ve ısrarcı bir personeliniz ile görüşmek istemiyorum.|negative
tükettiniz beni, kaç gündür bir hesap kapatamadım, kapanmadığı gibi kartımı da bankmatik aldı Herkes birbirine yönlendiriyor|negative
direk msj atamıyorum sanırım eklemeniz lazım beni|negative
işlem tamam  RTçı_baba |positive
sezelogan gördüm yalnız,linki açmamışsın be arkadaşımtwiti açıp tekrar Rt yaparsan çok sevinirim |negative
Rt yaptım TweetBaba  RTçı_baba |positive
RTçı_baba Abi bitirelim şu bonusu ,yaşasın AxessCard hepsi aynı bok ya neyse|negative
çittoşçittos yapsın kardeş Axess kart ücreti almıyor iyi ki axess var  |negative
RTçı_baba hep yapıyor bunu|negative
Şöyle;'dum; anlaşma bitince n'olurKart ücreti alırız,dedilerBen de;Alın,sizin olsun Bonus kart Axess yeter bana dedim :)|negative
Bankanızda kullanmadığımız hesabımız varsa kapatmamız gerekiyormuş yoksa ücret kesilecekmiş doğru mu?|negative
sizin en kısa süreniz 1 gün mü peki?|negative
Bir müşteri temsilcine bağlanıp soru sormanın imkansız olduğu yerdeyim 4440333|negative
şube çağrı merkezine çağrı merkezi şubeye ynlndryr akşam 7 den sonra müsaitim.|negative
aramanız için uygun bir zaman dilimindeyim, bekliyorum...|positive
moneybonus personel tanımlaması için şubeye gdn ytkmz yk çağrımrkzni aryn ytkmz yk kmn yetkisi vr hrkes brbrne ynlndiriyr |negative
mesai saatlerinden sonra müsaitim|positive
Niğde merkez şubesi, Haklı müşteri hattınız sorunumu çözemedi bilmiyorlarsorunun çözülmesi bundan sonra otomatik kesilmemesi.|negative
17986242 müşteri nolu hesabımdan 06072013 tarihinde hesap kullanım ücreti kesilmiş ve devamıda gelecektir.(tel:5554523457)|negative
Türkiye Futbol Federasyonu ile Garanti bankası arasında yapılan mutabakata göre hakemlerden hesap kullanım ücreti kesilmemekdr|negative
gün içersinde istediğiniz saat.|positive
on numara hizmet! Garanti bankasına böyle bir hizmet yaptığı için teşekkürler Çalışanlara ise daha büyük teşekkürler.|positive
İyi geceler Mesaide değilsiniz ama genel müdürünüz Ergün Özen Bey hala çapulcu mu  http://tco/c4jJ4bKjCW|positive
Bugün bana ""bankamız hesap işletim ücreti 07 01 2014'ten itibaren tüm vadesiz tl hesaplarınızda 58 tl olacaktır Bu nedemek|negative
Dm'de bir problem var,bir kez daha gönderdim, ulaştı ise yanıtlayarak dönün lütfen..|negative
Merhabalar Harcama itirazı faksı göndermiştim ama herhangi bir geri dönüş alamadım.|negative
akşam 6-11 arası, ya da şimdi|neutral
Yarın saat 13:00|neutral
sorması ayıp bana sıra gelecek mi Şikayetimin üzerinden tam 34 saat geçtide!!|negative
ulaşabileceğiniz numarayı dm ile ilettim..|neutral
DM den sorunumu ilettim cevaplar mısınız|neutral
şubeden hallettim sonunda problemi sisteminizdeki kayıtlı cep numarasını kullanıyorum bir değişiklik yok teşekkürler|negative
görüşmemize gerek kalmadı teşekkürler, policemi iptal ettiriyorum.|negative
Bana bir dakika bakcanız mı ATM ile alakalı .|negative
önemli olan para değil ama ilgilenmenizi ve beni ikna etmenizi rica ediyorum :)|negative
2 hafta geçti artık ne zaman alacağım paramı ?|negative
otomatik ödeme talimatı olamadan hesabımdan otomatik ödeme için 79 tl kesildi tel konuştuğumuzda ptesi geri yatacak denildi 2|negative
androidlerde garanti şifrematik uygulamasının problemlerini ne zaman gidermeyi düşünüyorsunuz  http://tco/rYaZX7uQDI|negative
DM nedir?|neutral
Akbank kredi kartlarımdn kullanmadığım kartımı kapatmak istiyorum ne aliağa şubesi yardımcı oldu ne de telefonla kapatabildim AkbankDestek|negative
5 gündür bi atmyi incelemekten aciz beceriksizler AkbankAkbankDestek|negative
cumartesi gününden beri sizi bekliyorumçok mu zor atmyi incelemeksizin keyfinizi beklemek zorunda mıyım?|negative
tefeci AkbankAkbankDestek|negative
cumartesi gününden beri bekliyorumbir atmyi kontrol etmek bu kadar mı zoryardım lazımsa geleyim siz zahmet etmeyin AkbankAkbankDestek|negative
sayın destek yetkilisi müşteri temsilcime ulaşamıyorum telefondan yardımcı olur musunuz nasıl ulaşabilirim|negative
bir kredi kartı başvurum vardı durumunu öğrenmek için aradım fakat  mh'ye bağlanamadım|negative
bi kart gönderecekmişsiniz 15 günü bulabilirmisss bu devir ne 15 gün sürüyorr AkbankDestek|negative
o ücret iptal edilebilir mi 75 tl ödemek istemiyorum geçen yıl da olmuştu iptal etmiştik|negative
Derdim niye böyle bir ücret aldığınız değilTelefon edince geri iade ediliyor!Maaş müşterisiyim ben Baştan neden aldınız?|negative
0530 176 6725 numaralı telefondan tarafıma ulaşabilirseniz memnun olurum İyi çalışmalar.|positive
alihakandolapçı aynen o öç yapınca daha komik oluyo gerçi=)|negative
tdabak abi müthiş tepki ya muahauahauha yerli yersiz güldürüyo :D :D|negative
alihakandolapçı haydaaaaaaaaa|negative
Bize Teşekkür Etme Zaten  Tabi Biz Kimiz ki ?@alihakandolapçı|negative
Üzgünüz, girdiğin kod daha önce kullanıldı Lütfen tekrar dene veya kod sağlayıcınla iletişime geç uyarısı alıyorum|negative
İlginiz ve hızlı dönüş için teşekkür ederim.|positive
1 hafta oldu mağduriyetim hakinda kimse beni arayıpm bilgilendirmiyor.|negative
merveakba6|neutral
Şubeden çıkan Neo kartımı verdiğiniz kuryenin takip numarasını öğrenme şansım var 2 hafta oldu çünküCevap gelirse sevinirim|negative
ya bana hediye ettiğiniz deezer premium kodu kullanıldı diyo ?? AkbankAkbankDestek|negative
sizden benim için bir çözüm yolu istiyorum|negative
kartımı iptal ettirdim ama iptal nedenimi dinlemeden 50 tl chip para ile gene açtırmaya çalışıyorsunuz salakmı sandınız beni ?|negative
Merhaba, Anış Kapoor sergisi için davetiye kazanmıştım Benden iletişim bilgilerimi istemiştiniz.|neutral
şu anda durum nedir acaba Bir ay daha mı sürecek?|negative
çorum valilik atm bozuk reisler şube bakmadı sanırım bi el atın..|negative
Problemim çözüldü Teşekkür ederim.|positive
henüz bir dönüş yapılmadı....|negative
Kredi kartımla ilgili bir sorunum var ve bankanızda muhattap bulamıyorum Telefonla ulaşmak imkansız Çünkü yüzünüze kapanıyor|negative
444 25 25 no'lu telefondan 30 dk sonra ulaşabildiğim kişi yardımcı olmak yerine beni ilk menüye attı Yardımcı olur musunuz?|negative
yarasın tosunuma kanka gene bi üyelik ücreti geçirmişsiniz hayırdır.. Akbank|negative
Vadesiz mevduat hesaplarım silindi bir çok arkadaşımında hesapları aynı durumda AkbankDestek|negative
gece gece bu ne hız şahanesiniz tessekkürler:-)|positive
buruşuk parayı bile kabul etmeyen bankamatik nasıl bu parayı verirşimdi bu para bende mi patladı http://tco/wwj0tZK5Rf|negative
Bilgiç5|neutral
sorunlarımızı yazdığımız zaman neden takibi bırakıyorsunuz kapattırcam kartınızı kardeşim.|negative
nesimakbaşhotmailcom yada 02324539242|neutral
Hlmeçlk 444 25 25 ı aradık fakat bu konuda yardım yetkileri yokmuştetkili biri yok mu yardım edecek|negative
ben teşekkür ederim (y)|positive
beylikdüzü sanayi şubesi... çalışanlarla ilgili bir sıkıntı değil bu hepsi çok ilgili Tamamen eleman eksiğinizden kaynaklı|positive
Müşteriniz değilsem kapanış saatine kadar beklicem yani öğrendiğim iyi oldu  kredi başvurumu iptal edim.|negative
Orayı aramayı ben de biliyorum, madem her konuya destek olamayacaksınız bir köşeye yardım menüsü koyun bir zahmet.|negative
en başta müşteri sıra düzenlemesiyle mesela!!!|negative
Kredi kartımda kullanımdan dolayı tahribat var, yeniden gönderilmesini rica ediyorum.|negative
DM yolu nedir burada var mıkayıtlarım sizde var zaten arayın beni..053*7***455|neutral
neo kartım sizin KURYELERİNİZ hızlı çalışması dolayısı ile nedense 2,5 aydır alamıyorum..merkeze gelip elden alsaydım keşke...|negative
ne zaman dönüş yapacaksınız??@AkbankDestek|negative
gün içerisinde dönüş istiyorum.|negative
Bir talebim olamadı ki geri dönüş yapılsın Talep yapmak için aranmak istiyorum Ben arıyorum kayıt yapmıyorsunuz Acil çözüm|negative
Sanırım müşteriye ihtiyacınız yok Zibilyon kere kart başvurusu yaptım Ne zaman dönüş olacak Ölünce mi?|negative
Başarılar dilerimm AkbankDestek|positive
Bilgilendirme ve geri iade işlemi için teşekkürler... AkbankAxessCard|positive
Bundan önceki işlem tutarlarıyla beraber sizden geri alacağım görürsünüz  AkbankAxessCard|negative
AkbankAxessCard bu yılki ve bundan sonr kiler için geri adım atmazsanız bundan önceki 5yılın işlemleriyle beraber ödersiniz|negative
AkbankAxessCard 75 tl üyelik ücretimi olur ey soyguncular... birazdan tüketici mahkemesine başvuruyorum...|negative
tek şube bazı değil! genel bi problem bence bu,ve bu şekilde dikkate alınması güzel olur ilginize teşekkürler.|negative
Bankanızdan yapılan HGS başvurularında hergangi bir yıllık aidat söz konusu mu Sözleşmede yıllık aidat kısmı ... şeklinde de.|negative
evet şubelerinizdeki elemanların daha güleryüzlü ve daha yardımcı olmalarını rica ederiz..|negative
sevgili  5 gündür günde 6 defa beni neden arıyorsun peki ben arayınca  müşteri hizmetlerine neden ulaşamıyorum |negative
Bilgiler güncellettim Bi arayıversen :)|neutral
İ'm at Garanti bankasıı - (Erzincan) http://tco/pQaw6hfYta|neutral
kapattırdığım kartın 380tl toplam borcunun 80 lirasını ödediğimde geriye 350tl borç nasıl kalıyor?|negative
internet üzerinden elektrik ödemelerinde bu sorunlar her ay devam edecekmi Her ay ""mutabakat yapılmaktadır"" diyor|negative
sabah saatleri|neutral
bekliyorum|negative
Suan bir problem görünmüyor Sanırım geçici bir sorundu, belki benim cihazım ile alakalıydı İlginiz için teşekkür ederim.|positive
Yarın 4/5 gibi müsait olurum Teşekkürler|positive
2 adet para kartım geldi/ve bir tanesini iptal etmek istiyorum nasıl bir işlem uygulamam gerekiyor ?|neutral
e-mail istediniz, yolladım siz de çözemediniz cevap vermiyonuz az çakal değilsiniz ha|negative
kuryenin cevabı bugün gönderiyoruz.. kuryenetmaduru|negative
merhaba kardeşim 2 haftadır kuryeye verilen kredi kartını bekliyor cevap biz kuryeye verdik#|negative
şu an veya yarın 1200-1300 arası veya 1700 dan sonra|neutral
Yarın, 14:00'dan sonra...|neutral
üzgünüm 3 kere verdim ne yapabilirim, inandırıcı değil Lakin cebimde sistemde doğru!yine dm aticam|negative
dersteydim nasıl açabilirdim sorunu hallettim ilginizden dolayı teşekkür ederim|positive
her yıl aynı muhabbet,kredi kartınızı kullanmaya devam ederseniz aidat yansıtılmayacak...! hani ne oldu yansıtmayacaktınız...?|negative
ben sözümde durdum ve kullanmaya devam ettim ama siz sözünüzde durmadınız ve yine aidat bedeli göndermişsiniz hemde 59 tl.!!!!|negative
Teşekkür ederim |positive
